Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,TITLE,JOURNAL,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,ABSTRACT,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Wang, DY; Shi, YR; Chen, GW; Zeng, LY; Hang, J; Wang, Q",,,,"Wang, Dongyang; Shi, Yurong; Chen, Guanwen; Zeng, Liyue; Hang, Jian; Wang, Qun",,,Urban thermal environment and surface energy balance in 3D high-rise compact urban models: Scaled outdoor experiments,BUILDING AND ENVIRONMENT,,,,,,,,,,,,"This study investigates the diurnal characteristics of air-surface temperatures and surface energy balance (SEB) of outdoor scaled arrays under different sky conditions from October to December 2017 in Guangzhou. Key geometrical parameters of the arrays include aspect ratio H/W = 2.4 (building height H = 1.2 m, street width W = 0.5 m), building area density lambda(p) = 0.25, and frontal area density lambda(f) = 0.6. Two types of buildings are investigated: hollow model means hollow concrete buildings and water model filled with water. Direct solar radiation, wall height, and wall orientation are significant factors that affect the diurnal variations of air-wall surface temperatures. The wall temperature shows a common declining trend from the upper heights to the lower heights. The water model experiences a smaller mean daily temperature range (DTR) of about 10 degrees C than the hollow model (mean DTR = 15.5 degrees C) due to heat storage. Moreover, 50%similar to 60% net radiation (Q*) are partitioned into heat storage (estimated by the element surface temperature method) for the water model, which is about two times for the hollow model between 10:00 to 16:00. For the hollow model, the sum of sensible and latent heat fluxes contributes to the majority fraction of Q*. On clear sky days, the diurnal variation of shortwave radiation shows a single peak, while more complicated variations in occasionally cloudy days. The mean albedo is mainly affected by solar altitude angle, sky conditions which ranged from 0.21 to 0.23 with H/W = 2.4 in current study. The present study may provide experimental data to validate numerical and theoretical models for urban climate studies.",,,,,"Zeng, Liyue/GQA-8262-2022","Wang, Qun/0000-0002-9166-6144",,,,,,,,,,,,,0360-1323,1873-684X,,,,NOV,2021,205,,,,,,,,108251,10.1016/j.buildenv.2021.108251,http://dx.doi.org/10.1016/j.buildenv.2021.108251,,AUG 2021,,,,,,,,,,,WOS:000702816900004,View Full Record in Web of Science
J,"Chen, BM; Gao, Y; Liao, HX; Peng, SL",,,,"Chen, Bao-Ming; Gao, Yang; Liao, Hui-Xuan; Peng, Shao-Lin",,,Differential responses of invasive and native plants to warming with simulated changes in diurnal temperature ranges,AOB PLANTS,,,,,,,,,,,,"Although many studies have documented the effects of global warming on invasive plants, little is known about whether the effects of warming on plant invasion differ depending on the imposed change in different diurnal temperature ranges (DTR). We tested the impact of warming with DTR change on seed germination and seedling growth of eight species in the family Asteraceae. Four of these are invasive (Eupatorium catarium, Mikania micrantha, Biodens pilosa var. radiate, Ageratum conyzoides) in China, and four are native (Sonchus arvensis, Senecios candens, Pterocypsela indica, Eupatorium fortunei). Four temperature treatments were set in growth chambers (three warming by 3 degrees C with different DTRs and control), and experiments were run to mimic wintertime and summertime conditions. The control treatment (T-c) was set to the mean temperature for the corresponding time of year, and the three warming treatments were symmetric (i.e. equal night-and-day) (DTRsym), asymmetric warming with increased (DTRinc) and decreased (DTRdec) DTR. The warming treatments did not affect seed germination of invasive species under any of the conditions, but DTRsym and DTRinc increased seed germination of natives relative to the control, suggesting that warming may not increase success of these invasive plant species via effects on seed germination of invasive plants relative to native plants. The invasive plants had higher biomass and greater stem allocation than the native ones under all of the warming treatments. Wintertime warming increased the biomass of the invasive and wintertime DTRsym and DTRinc increased that of the native plants, whereas summertime asymmetric warming decreased the biomass of the invasives but not the natives. Therefore, warming may not facilitate invasion of these invasive species due to the suppressive effects of summertime warming (particularly the asymmetric warming) on growth. Compared with DTRsym, DTRdec decreased the biomass of both the invasive and native plants, while the asymmetric summer warming treatments (DTRinc and DTRdec) decreased the biomass of the invasive but not the native plants. In addition, wintertime DTRinc did not enhance the biomass of all the plants relative to DTRsym. Our results were obtained in an unrealistic setting; the growth conditions in chambers (e.g. low light, low herbivory, no competition) are quite different from natural conditions (high light, normal herbivory and competition), which may influence the effects of warming on the seedling establishment and growth of both invasive and native plants. Nonetheless, our work highlights the importance of asymmetric warming, particularly in regards to the comparison with the effects of symmetric warming on both invasive and native plants. Conclusions regarding the effects of future warming should be made cautiously because warming with different DTRs may suggest different implications for invasion, and effects of warming may be different in different seasons.",,,,,"Chen, Bao-Ming/H-9024-2016","Chen, Bao-Ming/0000-0003-1891-8752",,,,,,,,,,,,,2041-2851,,,,,,2017,9,,,,,,,,plx028,10.1093/aobpla/plx028,http://dx.doi.org/10.1093/aobpla/plx028,,,,,,,,28775830,,,,,WOS:000410143600007,View Full Record in Web of Science
J,"Zeigler, MP; Brinkman, SF; Caldwell, CA; Todd, AS; Recsetar, MS; Bonar, SA",,,,"Zeigler, Matthew P.; Brinkman, Stephen F.; Caldwell, Colleen A.; Todd, Andrew S.; Recsetar, Matthew S.; Bonar, Scott A.",,,Upper Thermal Tolerances of Rio Grande Cutthroat Trout under Constant and Fluctuating Temperatures,TRANSACTIONS OF THE AMERICAN FISHERIES SOCIETY,,,,,,,,,,,,"The Rio Grande Cutthroat Trout Oncorhynchus clarkii virginalis is the southernmost subspecies of Cutthroat Trout, and as with the other subspecies, stream temperature regulates growth, reproductive success, distribution, and survival. An understanding of the upper thermal tolerance of Rio Grande Cutthroat Trout is important for developing water temperature standards and for assessing suitable habitat for reintroduction and management. Hatch success of Rio Grande Cutthroat Trout eggs was determined under static temperatures. The thermal requirements of fry and juveniles were also assessed under static and fluctuating temperature regimes using the acclimated chronic exposure method. Egg hatch success was 46-70% from 6 degrees C to 16 degrees C but declined significantly at 18 degrees C and 20 degrees C. Maximum growth of fry that were fed to satiation occurred at 15.3 degrees C. The 30-d ultimate upper incipient lethal temperature (UUILT) was 22.6 degrees C for fry and 21.7 degrees C for juveniles. Survival during fluctuating temperature experiments was dependent upon the daily maximum temperature and the daily fluctuation. The upper thermal limits for Rio Grande Cutthroat Trout were lower than those of Rainbow Trout O. mykiss but similar to those of other Cutthroat Trout subspecies. The low UUILT of Rio Grande Cutthroat Trout relative to some salmonids may increase the risk of deleterious effects brought about by a changing climate, habitat alteration, and sympatric nonnative salmonids, which are known to outcompete Cutthroat Trout at temperatures above the species' optimal range. Daily mean water temperatures near the Rio Grande Cutthroat Trout's optimal growth temperature of 15 degrees C would be suitable for reintroduction of this subspecies. Depending on the daily temperature fluctuation, daily maximum temperatures within reintroduction streams and current habitat should remain at or below 25 degrees C to ensure long-term persistence of a Rio Grande Cutthroat Trout population. This information will aid in establishing water quality standards to protect habitat where the subspecies currently occurs. Received March 12, 2013; accepted May 28, 2013",,,,,,,,,,,,,,,,,,,0002-8487,1548-8659,,,,SEP 1,2013,142,5,,,,,1395,1405,,10.1080/00028487.2013.811104,http://dx.doi.org/10.1080/00028487.2013.811104,,,,,,,,,,,,,WOS:000324613800020,View Full Record in Web of Science
J,"Gamarra, H; Sporleder, M; Carhuapoma, P; Kroschel, J; Kreuze, J",,,,"Gamarra, Heidy; Sporleder, Marc; Carhuapoma, Pablo; Kroschel, Jurgen; Kreuze, Jan",,,A temperature-dependent phenology model for the greenhouse whitefly Trialeurodes vaporariorum (Hemiptera: Aleyrodidae),VIRUS RESEARCH,,,,,,,,,,,,"The greenhouse whitefly Trialeurodes vaporariorum Westwood (Hemiptera: Aleyrodidae) is a serious pest of many fruits, vegetables and ornamental crops in sub-tropical regions and in greenhouses worldwide. Potato is a secondary host of the species but the major threat from this insect in the Andean region for potato is the transmission by this insect of a crinivirus causing Potato yellow vein disease. Determination of the pest's temperature-dependent population growth potential is crucial knowledge for understanding the population dynamics and spread potential of the species and the diseases it can transmit, as well as for designing effective pest management strategies. Trialeurodes vaporariorum development, mortality and reproduction were studied at seven constant temperatures ranging from 10 to 32 degrees C. The Insect Life Cycle Modeling (ILCYM) software was used to fit nonlinear equations to the data and establish an overall phenology model to simulate life-table parameters based on temperature. In addition, life tables of T. vaporarionum were established at daily fluctuating temperature in two different environments: Cusco (5 degrees C-35 degrees C) and La Molina, Lima (13.7 degrees C-24.9 degrees C), and used to adjust and validate the model. The insect only completed its life cycle at constant temperatures above 15 degrees C and below 32 degrees C although the cycle was completed at daily fluctuating temperatures between 5 degrees C and 35 degrees C. The overall model portrayed population development within the temperature range of 14 degrees to 32 degrees C with a maximum finite rate of population increase (= 1.14) at 23 degrees C. However, the model revealed poor convergence with life tables established at fluctuating temperatures indicating an influential effect of temperature fluctuations on the whitefly life history parameters, particularly on adult survival time and reproduction. Therefore, we adjusted the model for convergence with a single life table observed at fluctuating temperature. The adjusted model gave good predictions when compared with remaining observed life tables and published data. The adjusted model predicted population development within the temperature range of 11.5 degrees C-35.5 degrees C, and maximum population growth at around 24 degrees C with a finite rate of increase, lambda, of 1.137 and a population doubling time of 5 days. The established process-based physiological model presented here for T. vaporariorum can be used for predicting the species distribution potential based on temperature worldwide and should prove helpful in adjusting pest management measures. Moreover, the information obtained will be used to predict the spread potential of potato yellow vein disease.",,,,,,,,,,,,,,,,,,,0168-1702,1872-7492,,,,NOV,2020,289,,,,,,,,198107,10.1016/j.virusres.2020.198107,http://dx.doi.org/10.1016/j.virusres.2020.198107,,,,,,,,32800806,,,,,WOS:000580625200001,View Full Record in Web of Science
J,"Xin, H; Gates, RS; Puma, MC; Ahn, DU",,,,"Xin, H; Gates, RS; Puma, MC; Ahn, DU",,,Drinking water temperature effects on laying hens subjected to warm cyclic environments,POULTRY SCIENCE,,,,,,,,,,,,"Two experiments were conducted to evaluate the effects of drinking water temperature (T-w) on laying hens subjected to warm cyclic air temperature (T-a) conditions. Each experiment consisted of a 1-wk acclimation under thermoneutrality (TN) (T-a = T-w = 21 C), a 4-wk heat exposure or treatment period, and a 2-wk recovery under TN. Each experiment involved 24 individually caged hens at the initial age of 29 wk (Experiment 1) or 30 wk (Experiment 2). In Experiment 1, T-w of 18 or 27 C was provided to 12 birds per T-w regimen under a diurnal T-a of 27 to 35 C (daily mean of 31 C). In Experiment 2, T-w of 15, 19, 23, or 27 C was provided to six birds per T-w regimen under a diurnal T-a of 27 to 38 C (daily mean of 32.5 C). Experiment 1 showed that T-w of 18 C enhanced hourly and daily feed and water intake during the first 2 wk of heat exposure, as compared with T-w of 27 C. Experiment 2 showed that daily feed and water intake were greatest for hens in the 23 C Tw regimen and least for hens in the coolest or warmest T-w regimens. Reduction in daily feed intake with increase in daily mean T-a ranged from 2.0 similar to 3.2 g/C-day (first week of heat exposure) to 1.1 similar to 1.9 g/C-day (fourth week of heat exposure). Water to feed intake ratio was 1.8 similar to 2.0 during acclimation and recovery, but increased to 3.0 similar to 3.4 during heat exposure. Internal egg quality parameters were in general unaffected by T-w. The two warmer T-w regimens in Experiment 2 had less reduction in egg size than did the two cooler T-w. In both experiments, hens displayed anticipatory increase in feed and water intake 2 to 3 h prior to lights-off. However, the stimulus of lights-on did not elicit a strong return to feed and water consumption as typically seen in broilers. The results revealed the potential existence of an optimal T-w range (near 23 C) for heat-challenged laying hens. Larger-scale tests are warranted to further verify the findings.",,,,,"Gates, Richard S/M-4367-2014; Gates, Richard S./AAM-8999-2020","Gates, Richard S/0000-0003-2812-1739; Gates, Richard S./0000-0003-2812-1739",,,,,,,,,,,,,0032-5791,,,,,MAY,2002,81,5,,,,,608,617,,10.1093/ps/81.5.608,http://dx.doi.org/10.1093/ps/81.5.608,,,,,,,,12033408,,,,,WOS:000175517600002,View Full Record in Web of Science
J,"Vivanco, P; Rol, MA; Madrid, JA",,,,"Vivanco, Pablo; Angeles Rol, Maria; Antonio Madrid, Juan",,,TEMPERATURE CYCLES TRIGGER NOCTURNALISM IN THE DIURNAL HOMEOTHERM OCTODON DEGUS,CHRONOBIOLOGY INTERNATIONAL,,,,,,,,,,,,"Body temperature regulation within a physiological range is a critical factor for guaranteeing the survival of living organisms. The avoidance of high ambient temperatures is a behavioral mechanism used by homeothermic animals living in extreme environmental conditions. As the circadian system is involved in these thermoregulatory responses, precise phase shifts and even complete temporal niche inversion have been reported. Octodon degus, a mainly diurnal rodent from Chile, has the ability to switch its phase preference for locomotor activity to coincide with the availability of a running wheel. The aims of this work are twofold: to determine whether ambient temperature cycles, with high values during the day and low values at night (HLTa), can induce nocturnal chronotypes in degus previously characterized as diurnal; and to learn whether HLTa cycles are able to act as a zeitgeber in this dual-phase species. To this end, degus were subjected to 24 h HLTa cycles under both 12:12 LD and DD conditions. Two experimental groups were used, one with previous wheel running experience and another naive group, to study the influence of the thermal cycles and previous wheel running experience on the degus' dual-phasing behavior. Temperature cycles (31.3 +/- 1.5 degrees C during the day and 24.2 +/- 1.6 degrees C at night) induced a 100% nocturnalism in previously diurnal individuals. Indeed, both entrainment with nocturnal phase angle to LD and nocturnal rhythmicity induced by masking were observed. Moreover, HLTa cycles acted by masking, confining wheel-running activity to the cooler phase under DD conditions, with the naive group being more sensitive than the experienced one. (Author correspondence:jamadrid@um.es)",,,,,"Vivanco, Pablo/AAC-9101-2020; ROL, ANGELES/ABH-6431-2020; ROL, ANGELES/C-6718-2009","ROL, ANGELES/0000-0002-9343-3918; ROL, ANGELES/0000-0002-9343-3918; Madrid, Juan Antonio/0000-0002-9286-1371; Vivanco, Pablo/0000-0001-5600-2118",,,,,,,,,,,,,0742-0528,1525-6073,,,,,2010,27,3,,,,,517,534,,10.3109/07420521003743660,http://dx.doi.org/10.3109/07420521003743660,,,,,,,,20524798,,,,,WOS:000282027100005,View Full Record in Web of Science
J,"Klingberg, J; Karlsson, PE; Karlsson, GP; Hu, Y; Chen, D; Pleijel, H",,,,"Klingberg, J.; Karlsson, P. E.; Karlsson, G. Pihl; Hu, Y.; Chen, D.; Pleijel, H.",,,Variation in ozone exposure in the landscape of southern Sweden with consideration of topography and coastal climate,ATMOSPHERIC ENVIRONMENT,,,,,,,,,,,,"Ozone concentrations ([O-3]) and meteorological parameters were measured with a mobile monitoring station at two coastal and five inland sites in southwest Sweden. Three of the five inland sites were located topographically low and two high compared to the surrounding landscape. In addition, [O-3] data from six permanent monitoring stations in southern Sweden were analysed in relation to the positions of the measurement sites in the landscape. [O-3] was also measured with passive diffusion samplers at two other sites. Both the diurnal temperature range (DTR) and the diurnal [O-3] range (DOR) were to a large extent explained by the strength of the nocturnal temperature inversions at the sites. To investigate the influence of topography, the relative altitude of the sites was defined as the average altitude within a 3 km radius subtracted from the altitude of the site. Statistically significant relationships were obtained for average [O-3] as well as DOR with relative altitude. Inland low sites experienced stronger nocturnal temperature inversions, lower average [O-3] and larger DOR compared to inland high and coastal sites. Relative altitude was found to be superior to site altitude in explaining the variation of average [O-3] and DOR in the landscape. This study underlines the importance of including local topography, as well as vicinity to the coast, in modelling [O-3] and in O-3 environmental risk assessments. (C) 2011 Elsevier Ltd. All rights reserved.",,,,,"Klingberg, Jenny/AAI-6828-2021; Chen, Deliang/A-5107-2013; Pleijel, Hakan/C-9724-2010","Klingberg, Jenny/0000-0001-7081-2782; Chen, Deliang/0000-0003-0288-5618; Pleijel, Hakan/0000-0002-6975-5984; Hu, Yumei/0000-0002-5947-3430",,,,,,,,,,,,,1352-2310,1873-2844,,,,FEB,2012,47,,,,,,252,260,,10.1016/j.atmosenv.2011.11.004,http://dx.doi.org/10.1016/j.atmosenv.2011.11.004,,,,,,,,,,,,,WOS:000301157700028,View Full Record in Web of Science
J,"de Szoeke, SP; Marke, T; Brewer, WA",,,,"de Szoeke, Simon P.; Marke, Tobias; Brewer, W. Alan",,,Diurnal Ocean Surface Warming Drives Convective Turbulence and Clouds in the Atmosphere,GEOPHYSICAL RESEARCH LETTERS,,,,,,,,,,,,"Sunlight warms sea surface temperature (SST) under calm winds, increasing atmospheric surface buoyancy flux, turbulence, and mixed layer (ML) depth in the afternoon. The diurnal range of SST exceeded 1 degrees C for 24% of days in the central tropical Indian Ocean during the Dynamics of the Madden Julian Oscillation experiment in October-December 2011. Doppler lidar shows enhancement of the strength and height of convective turbulence in the atmospheric ML over warm SST in the afternoon. The turbulent kinetic energy (TKE) dissipation rate of the marine atmospheric ML scales with surface buoyancy flux like previous measurements of convective MLs. The time of enhanced ML TKE dissipation rate is out of phase with the buoyancy flux generated by nocturnal net radiative cooling of the atmosphere. Diurnal atmospheric convective turbulence over the ocean mixes moisture from the ocean to the lifting condensation level and forms afternoon clouds.",,,,,"Marke, Tobias/ABH-7973-2020","Marke, Tobias/0000-0001-7804-9056",,,,,,,,,,,,,0094-8276,1944-8007,,,,FEB 28,2021,48,4,,,,,,,e2020GL091299,10.1029/2020GL091299,http://dx.doi.org/10.1029/2020GL091299,,,,,,,,,,,,,WOS:000623802900033,View Full Record in Web of Science
C,"Seginer, I; Gent, M",,"Hemming, S; Heuvelink, E",,"Seginer, I.; Gent, M.",,,"Vegetative Growth Response to Light and Temperature, Interpreted by Carbohydrate-Pool Dynamics",VII INTERNATIONAL SYMPOSIUM ON LIGHT IN HORTICULTURAL SYSTEMS,Acta Horticulturae,,,,7th International Symposium on Light in Horticultural Systems,"OCT 15-18, 2012","Wageningen, NETHERLANDS",Int Soc Hort Sci (ISHS),,,,"The growth of plants may be divided into two stages: (1) the supply of carbohydrate from photosynthesis, and (2) the demand of carbohydrate for biosynthesis, leading to structural growth. Normally supply exceeds demand in cool temperatures, while the opposite is true at warm temperatures. To match supply and demand, photosynthesis is inhibited in the cool temperature range and synthesis (growth) is inhibited in the warm temperature range. The signal for the supply-demand imbalance is presumably obtained from the state of the carbohydrate pool (temporary storage), which fluctuates between a maximum level around sunset and a minimum level around dawn. A simple model, that incorporates this presumed mechanism, is presented and used to estimate the response of structural growth and of carbohydrate content to light and temperature in the cool and warm temperature ranges. The model predicts maximum growth rate at an intermediate temperature, which is positively correlated with light level. It also predicts an increase of nonstructural carbohydrate at cool temperatures. Both predictions are in qualitative agreement with observations. The model may be considered as an attempt at a mechanistic explanation of the observed phenomena, but experimental and modelling deficiencies currently restrict its predictions to the general features of the process only.",,,,,,,,,,,,,,,,,,,0567-7572,,978-90-66055-45-2,,,,2012,956,,,,,,231,238,,,,,,,,,,,,,,,,WOS:000323764600025,View Full Record in Web of Science
J,"Wan, S; Luo, Y; Wallace, LL",,,,"Wan, S; Luo, Y; Wallace, LL",,,Changes in microclimate induced by experimental warming and clipping in tallgrass prairie,GLOBAL CHANGE BIOLOGY,,,,,,,,,,,,"In order to facilitate interpretation and comparison of warming effects on ecosystems across various habitats, it is imperative to quantify changes in microclimate induced by warming facilities. This paper reports observed changes in air temperature, soil temperature and soil-moisture content under experimental warming and clipping in a tallgrass prairie in the Great Plains, USA. We used a factorial design with warming as the primary factor nested with clipping as the secondary factor. Infrared heater was used in order to simulate climatic warming and clipping to mimic mowing for hay or grazing. The warming treatment significantly increased daily mean and minimum air temperatures by 1.1 and 2.3 degreesC, respectively, but had no effect on daily maximum air temperature, resulting in reduced diurnal air-temperature range. Infrared heaters substantially increased daily maximum (2.5 and 3.5 degreesC), mean (2.0 and 2.6 degreesC) and minimum (1.8 and 2.1 degreesC) soil temperatures in both the unclipped and clipped subplots. Clipping also significantly increased daily maximum (3.4 and 4.3 degreesC) and mean (0.6 and 1.2 degreesC) soil temperatures, but decreased daily minimum soil temperature (1.0 and 0.6 degreesC in the control and warmed plots, respectively). Daily maximum, mean and minimum soil temperatures in the clipped, warmed subplots were 6.8, 3.2 and 1.1 degreesC higher than those in the unclipped, control subplots. Infrared heaters caused a reduction of 11.0% in soil moisture in the clipped subplots, but not in the unclipped subplots. Clipping reduced soil-moisture content by 17.7 and 22.7% in the control and warmed plots, respectively. Experimental warming and clipping interacted to exacerbate soil-moisture loss (26.7%). Overall, infrared heaters simulated climate warming well by enhancing downward infrared radiation and by reducing the diurnal air-temperature range.",,,,,"Wan, Shiqiang/L-9166-2019; Wan, Shiqiang/B-5799-2009","Wan, Shiqiang/0000-0003-0631-1232; Wan, Shiqiang/0000-0003-0631-1232",,,,,,,,,,,,,1354-1013,1365-2486,,,,AUG,2002,8,8,,,,,754,768,,10.1046/j.1365-2486.2002.00510.x,http://dx.doi.org/10.1046/j.1365-2486.2002.00510.x,,,,,,,,,,,,,WOS:000176798400005,View Full Record in Web of Science
J,"Clough, TJ; Buckthought, LE; Kelliher, FM; Sherlock, RR",,,,"Clough, Tim J.; Buckthought, Laura E.; Kelliher, Francis M.; Sherlock, Robert R.",,,Diurnal fluctuations of dissolved nitrous oxide (N2O) concentrations and estimates of N2O emissions from a spring-fed river: implications for IPCC methodology,GLOBAL CHANGE BIOLOGY,,,,,,,,,,,,"There is uncertainty in the estimates of indirect nitrous oxide (N2O) emissions as defined by the Intergovernmental Panel on Climate Change (IPCC). The uncertainty is due to the challenge and dearth of in situ measurements. Recent work in a subtropical stream system has shown the potential for diurnal variability to influence the downstream N transfer, N form, and estimates of in-stream N2O production. Studies in temperate stream systems have also shown diurnal changes in stream chemistry. The objectives of this study were to measure N2O fluxes and dissolved N2O concentrations from a spring-fed temperate river to determine if diurnal cycles were occurring. The study was performed during a 72 h period, over a 180 m reach, using headspace chamber methodology. Significant diurnal cycles were observed in radiation, river temperature and chemistry including dissolved N2O-N concentrations. These data were used to further assess the IPCC methodology and experimental methodology used. River NO3-N and N2O-N concentrations averaged 3.0 mg L-1 and 1.6 mu g L-1, respectively, with N2O saturation reaching a maximum of 664%. The N2O-N fluxes, measured using chamber methodology, ranged from 52 to 140 mu g m(-2) h(-1) while fluxes predicted using the dissolved N2O concentration ranged from 13 to 25 mu g m(-2) h(-1). The headspace chamber methodology may have enhanced the measured N2O flux and this is discussed. Diurnal cycles in N2O% saturation were not large enough to influence downstream N transfer or N form with variability in measured N2O fluxes greater and more significant than diurnal variability in N2O% saturation. The measured N2O fluxes, extrapolated over the study reach area, represented only 6 x 10(-4)% of the NO3-N that passed through the study reach over a 72 h period. This is only 0.1% of the IPCC calculated flux.",,,,,"Brown, Barbara/J-3269-2012; Clough, Timothy/Q-4982-2018","Clough, Timothy/0000-0002-5978-5274",,,,,,,,,,,,,1354-1013,1365-2486,,,,MAY,2007,13,5,,,,,1016,1027,,10.1111/j.1365-2486.2007.01337.x,http://dx.doi.org/10.1111/j.1365-2486.2007.01337.x,,,,,,,,,,,,,WOS:000245987300009,View Full Record in Web of Science
J,"JANOWIAK, JE; ARKIN, PA; MORRISSEY, M",,,,"JANOWIAK, JE; ARKIN, PA; MORRISSEY, M",,,AN EXAMINATION OF THE DIURNAL CYCLE IN OCEANIC TROPICAL RAINFALL USING SATELLITE AND IN-SITU DATA,MONTHLY WEATHER REVIEW,,,,,,,,,,,,"Diurnal variations in tropical cold cloudiness are examined for the period 1986-90 for each 2.5-degrees latitude-longitude area in the global Tropics. The fractional coverage of cold cloudiness, as determined from various IR brightness temperature thresholds, has been used as a proxy for tropical convective precipitation, as direct observations of rainfall are unavailable for much of the earth, especially over the oceans. Variations in fractional coverage of cold cloud for three different temperature thresholds are examined: 235, 225, and 215 K. The results of this study indicate that cold cloud is most frequently observed over land between 1800 and 2100 local time and is independent of the temperature threshold used. Over the tropical oceans, however, the time of maximum occurrence of cold cloud varies substantially with the temperature threshold employed. Coldest cloud-top temperatures (< 215 K) are found to occur much earlier in the day than warmer cloud tops and peak between 0300 and 0600 local time, which is consistent with many earlier limited-area studies. This observation is further confirmed from precipitation intensity differences between morning and evening observations from microwave satellite data. An interesting out-of-phase relationship between oceanic and continental convection is also discussed. Ship reports of weather type from the Comprehensive Ocean Atmosphere Data Set are examined as are hourly rainfall amounts from optical rain gauges on moored buoys that were deployed for the Tropical Ocean Global Atmosphere Coupled Ocean-Atmosphere Response Experiment. Both of these data sources also indicate the preference for predawn oceanic heavy rainfall and convective activity. A cursory examination of the diurnal variations in short-range (6 h) rainfall forecasts from the National Meteorological Center Medium-Range Forecast Model are compared with the satellite and in situ results. The daily variations of these forecasts, which are made four times daily, indicate that the diurnal behavior of the model is in reasonable agreement with that of the satellite and in situ observations.",,,,,"Arkin, Phillip/F-5808-2010","Arkin, Phillip/0000-0002-5769-7107",,,,,,,,,,,,,0027-0644,,,,,OCT,1994,122,10,,,,,2296,2311,,10.1175/1520-0493(1994)122<2296:AEOTDC>2.0.CO;2,http://dx.doi.org/10.1175/1520-0493(1994)122<2296:AEOTDC>2.0.CO;2,,,,,,,,,,,,,WOS:A1994PG58000005,View Full Record in Web of Science
J,"Stout, DG",,,,"Stout, DG",,,Rapid and synchronous germination of cicer milkvetch (Astragalus cicer L.) seed following diurnal temperature priming,JOURNAL OF AGRONOMY AND CROP SCIENCE-ZEITSCHRIFT FUR ACKER UND PFLANZENBAU,,,,,,,,,,,,"Experiments were conducted to determine if diurnal temperature variation could be used to prime cicer milkvetch (Astragalus cicer L.) seed and thereby shorten the time for seed germination. For untreated cicer milkvetch seed at constant 20 degrees C, 50 % of the seeds germinated in 8.2 days and 90 % of the seeds germinated in 10.5 days. In contrast, seed that was first primed for 7 days with a diurnal temperature variation (35(8h)/5(16h)degrees C) had values of 1.9days and 3.3 days, respectively. A second experiment evaluated priming of seed in bulk to test if a procedure might be developed that could be scaled up to prime commercial quantities of seed. A bulk sample of seed was soaked in water for 5h at room temperature and then kept in a high humidity atmosphere during 7 days of priming at 35/5 degrees C. Hydrated seed from the bulk sample had 50 % germination in 2.7 days and 90 % germination in 5.3 days. When the bulk sample was dried for 8 days at room temperature, the benefit of priming on shortening germination time was retained. It is likely that diurnal temperature priming could be adapted to large volumes of seed.",,,,,,,,,,,,,,,,,,,0931-2250,,,,,NOV,1998,181,4,,,,,263,266,,10.1111/j.1439-037X.1998.tb00427.x,http://dx.doi.org/10.1111/j.1439-037X.1998.tb00427.x,,,,,,,,,,,,,WOS:000077126100011,View Full Record in Web of Science
